Identifier    	Cytoplasmic effector	Apoplastic effector 	Non-effector        	Prediction          
SGCOL_009377-T1 	-                   	-                   	Y (0.566)           	Non-effector
SGCOL_009382-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_009383-T1 	Y (0.579)           	-                   	-                   	Cytoplasmic effector
SGCOL_009388-T1 	-                   	-                   	Y (0.941)           	Non-effector
SGCOL_009397-T1 	Y (0.536)           	Y (0.834)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_009398-T1 	-                   	-                   	Y (0.871)           	Non-effector
SGCOL_009424-T1 	-                   	-                   	Y (0.862)           	Non-effector
SGCOL_009447-T1 	-                   	Y (0.609)           	-                   	Apoplastic effector
SGCOL_009456-T1 	-                   	-                   	Y (0.871)           	Non-effector
SGCOL_009460-T1 	-                   	-                   	Y (0.594)           	Non-effector
SGCOL_009467-T1 	Y (0.605)           	-                   	-                   	Cytoplasmic effector
SGCOL_009473-T1 	-                   	-                   	Y (0.754)           	Non-effector
SGCOL_009496-T1 	-                   	-                   	Y (0.697)           	Non-effector
SGCOL_009519-T1 	-                   	-                   	Y (0.86)           	Non-effector
SGCOL_009530-T1 	-                   	-                   	Y (0.556)           	Non-effector
SGCOL_009531-T1 	-                   	-                   	Y (0.584)           	Non-effector
SGCOL_009553-T1 	-                   	-                   	Y (0.985)           	Non-effector
SGCOL_009558-T1 	Y (0.878)           	-                   	-                   	Cytoplasmic effector
SGCOL_009580-T1 	-                   	Y (0.871)           	-                   	Apoplastic effector
SGCOL_009582-T1 	-                   	-                   	Y (0.955)           	Non-effector
SGCOL_009584-T1 	-                   	-                   	Y (0.736)           	Non-effector
SGCOL_009597-T1 	-                   	-                   	Y (0.77)           	Non-effector
SGCOL_009598-T1 	-                   	-                   	Y (0.762)           	Non-effector
SGCOL_009601-T1 	-                   	Y (0.571)           	-                   	Apoplastic effector
SGCOL_009614-T1 	-                   	Y (0.646)           	-                   	Apoplastic effector
SGCOL_009615-T1 	-                   	-                   	Y (0.914)           	Non-effector
SGCOL_009616-T1 	-                   	Y (0.922)           	-                   	Apoplastic effector
SGCOL_009626-T1 	-                   	Y (0.541)           	-                   	Apoplastic effector
SGCOL_009632-T1 	-                   	-                   	Y (0.908)           	Non-effector
SGCOL_009634-T1 	-                   	-                   	Y (0.666)           	Non-effector
SGCOL_009642-T1 	-                   	Y (0.505)           	-                   	Apoplastic effector
SGCOL_009648-T1 	-                   	-                   	Y (0.686)           	Non-effector
SGCOL_009649-T1 	-                   	-                   	Y (0.552)           	Non-effector
SGCOL_009670-T1 	-                   	-                   	Y (0.984)           	Non-effector
SGCOL_009671-T1 	Y (0.612)           	Y (0.784)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_009673-T1 	-                   	-                   	Y (0.758)           	Non-effector
SGCOL_009674-T1 	-                   	-                   	Y (0.66)           	Non-effector
SGCOL_009675-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_009677-T1 	-                   	-                   	Y (0.7)           	Non-effector
SGCOL_009678-T1 	-                   	-                   	Y (0.817)           	Non-effector
SGCOL_009680-T1 	-                   	-                   	Y (0.889)           	Non-effector
SGCOL_009681-T1 	-                   	-                   	Y (0.927)           	Non-effector
SGCOL_009693-T1 	Y (0.647)           	-                   	-                   	Cytoplasmic effector
SGCOL_009694-T1 	-                   	-                   	Y (0.781)           	Non-effector
SGCOL_009709-T1 	Y (0.789)           	Y (0.796)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_009730-T1 	-                   	-                   	Y (0.816)           	Non-effector
SGCOL_009735-T1 	-                   	-                   	Y (0.908)           	Non-effector
SGCOL_009751-T1 	-                   	Y (0.72)           	-                   	Apoplastic effector
SGCOL_009758-T1 	-                   	Y (0.633)           	-                   	Apoplastic effector
SGCOL_009767-T1 	-                   	-                   	Y (0.733)           	Non-effector
SGCOL_009772-T1 	-                   	-                   	Y (0.984)           	Non-effector
SGCOL_009773-T1 	-                   	Y (0.661)           	-                   	Apoplastic effector
SGCOL_009777-T1 	-                   	-                   	Y (0.716)           	Non-effector
SGCOL_009778-T1 	-                   	-                   	Y (0.877)           	Non-effector
SGCOL_009779-T1 	Y (0.675)           	-                   	-                   	Cytoplasmic effector
SGCOL_009798-T1 	-                   	Y (0.838)           	-                   	Apoplastic effector
SGCOL_009803-T1 	-                   	-                   	Y (0.986)           	Non-effector
SGCOL_009811-T1 	-                   	Y (0.63)           	-                   	Apoplastic effector
SGCOL_009813-T1 	-                   	-                   	Y (0.776)           	Non-effector
SGCOL_009818-T1 	-                   	-                   	Y (0.961)           	Non-effector
SGCOL_009822-T1 	-                   	-                   	Y (0.885)           	Non-effector
SGCOL_009826-T1 	-                   	-                   	Y (0.856)           	Non-effector
SGCOL_009828-T1 	-                   	-                   	Y (0.96)           	Non-effector
SGCOL_009833-T1 	-                   	Y (0.899)           	-                   	Apoplastic effector
SGCOL_009852-T1 	-                   	-                   	Y (0.776)           	Non-effector
SGCOL_009863-T1 	-                   	-                   	Y (0.846)           	Non-effector
SGCOL_009866-T1 	-                   	Y (0.623)           	-                   	Apoplastic effector
SGCOL_009867-T1 	-                   	-                   	Y (0.604)           	Non-effector
SGCOL_009869-T1 	-                   	-                   	Y (0.674)           	Non-effector
SGCOL_009870-T1 	-                   	-                   	Y (0.708)           	Non-effector
SGCOL_009878-T1 	-                   	Y (0.743)           	-                   	Apoplastic effector
SGCOL_009887-T1 	-                   	-                   	Y (0.752)           	Non-effector
SGCOL_009894-T1 	Y (0.552)           	Y (0.762)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_009899-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_009906-T1 	-                   	-                   	Y (0.721)           	Non-effector
SGCOL_009909-T1 	-                   	-                   	Y (0.775)           	Non-effector
SGCOL_009910-T1 	-                   	Y (0.726)           	-                   	Apoplastic effector
SGCOL_009916-T1 	-                   	-                   	Y (0.55)           	Non-effector
SGCOL_009921-T1 	-                   	-                   	Y (0.957)           	Non-effector
SGCOL_009937-T1 	-                   	-                   	Y (0.636)           	Non-effector
SGCOL_009941-T1 	-                   	-                   	Y (0.957)           	Non-effector
SGCOL_009944-T1 	-                   	-                   	Y (0.877)           	Non-effector
SGCOL_009963-T1 	-                   	-                   	Y (0.801)           	Non-effector
SGCOL_009968-T1 	-                   	Y (0.732)           	-                   	Apoplastic effector
SGCOL_009971-T1 	-                   	-                   	Y (0.718)           	Non-effector
SGCOL_009972-T1 	-                   	-                   	Y (0.935)           	Non-effector
SGCOL_009973-T1 	-                   	-                   	Y (0.96)           	Non-effector
SGCOL_009974-T1 	-                   	Y (0.833)           	-                   	Apoplastic effector
SGCOL_009977-T1 	-                   	-                   	Y (0.987)           	Non-effector
SGCOL_009979-T1 	Y (0.91)           	-                   	-                   	Cytoplasmic effector
SGCOL_009986-T1 	-                   	Y (0.918)           	-                   	Apoplastic effector
SGCOL_009990-T1 	-                   	Y (0.619)           	-                   	Apoplastic effector
SGCOL_010002-T1 	-                   	-                   	Y (0.8)           	Non-effector
SGCOL_010005-T1 	-                   	-                   	Y (0.72)           	Non-effector
SGCOL_010008-T1 	-                   	-                   	Y (0.895)           	Non-effector
SGCOL_010011-T1 	-                   	Y (0.573)           	-                   	Apoplastic effector
SGCOL_010020-T1 	-                   	Y (0.658)           	-                   	Apoplastic effector
SGCOL_010037-T1 	-                   	-                   	Y (0.884)           	Non-effector
SGCOL_010041-T1 	-                   	-                   	Y (0.551)           	Non-effector
SGCOL_010045-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_010046-T1 	-                   	-                   	Y (0.899)           	Non-effector
SGCOL_010047-T1 	-                   	-                   	Y (0.776)           	Non-effector
SGCOL_010049-T1 	-                   	-                   	Y (0.625)           	Non-effector
SGCOL_010053-T1 	-                   	-                   	Y (0.561)           	Non-effector
SGCOL_010057-T1 	Y (0.627)           	Y (0.758)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_010098-T1 	Y (0.541)           	-                   	-                   	Cytoplasmic effector
SGCOL_010144-T1 	Y (0.872)           	-                   	-                   	Cytoplasmic effector
SGCOL_010149-T1 	-                   	-                   	Y (0.956)           	Non-effector
SGCOL_010151-T1 	Y (0.623)           	-                   	-                   	Cytoplasmic effector
SGCOL_010157-T1 	Y (0.661)           	Y (0.894)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_010163-T1 	-                   	-                   	Y (0.54)           	Non-effector
SGCOL_010175-T1 	-                   	-                   	Y (0.801)           	Non-effector
SGCOL_010188-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCOL_010194-T1 	-                   	-                   	Y (0.878)           	Non-effector
SGCOL_010199-T1 	-                   	-                   	Y (0.828)           	Non-effector
SGCOL_010202-T1 	-                   	-                   	Y (0.812)           	Non-effector
SGCOL_010217-T1 	-                   	Y (0.696)           	-                   	Apoplastic effector
SGCOL_010246-T1 	-                   	-                   	Y (0.815)           	Non-effector
SGCOL_010266-T1 	Y (0.541)           	Y (0.752)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_010282-T1 	-                   	Y (0.513)           	-                   	Apoplastic effector
SGCOL_010296-T1 	Y (0.84)           	-                   	-                   	Cytoplasmic effector
SGCOL_010301-T1 	-                   	-                   	Y (0.863)           	Non-effector
SGCOL_010305-T1 	-                   	-                   	Y (0.634)           	Non-effector
SGCOL_010316-T1 	Y (0.777)           	-                   	-                   	Cytoplasmic effector
SGCOL_010319-T1 	-                   	-                   	Y (0.769)           	Non-effector
SGCOL_010356-T1 	-                   	-                   	Y (0.721)           	Non-effector
SGCOL_010375-T1 	-                   	Y (0.573)           	-                   	Apoplastic effector
SGCOL_010378-T1 	-                   	-                   	Y (0.827)           	Non-effector
SGCOL_010379-T1 	-                   	Y (0.774)           	-                   	Apoplastic effector
SGCOL_010380-T1 	-                   	Y (0.666)           	-                   	Apoplastic effector
SGCOL_010385-T1 	-                   	-                   	Y (0.823)           	Non-effector
SGCOL_010397-T1 	-                   	-                   	Y (0.584)           	Non-effector
SGCOL_010407-T1 	-                   	-                   	Y (0.696)           	Non-effector
SGCOL_010408-T1 	-                   	-                   	Y (0.76)           	Non-effector
SGCOL_010410-T1 	-                   	-                   	Y (0.749)           	Non-effector
SGCOL_010416-T1 	-                   	Y (0.808)           	-                   	Apoplastic effector
SGCOL_010418-T1 	-                   	-                   	Y (0.667)           	Non-effector
SGCOL_010425-T1 	-                   	-                   	Y (0.929)           	Non-effector
SGCOL_010426-T1 	Y (0.836)           	Y (0.871)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_010445-T1 	-                   	-                   	Y (0.724)           	Non-effector
SGCOL_010452-T1 	-                   	Y (0.765)           	-                   	Apoplastic effector
SGCOL_010454-T1 	-                   	-                   	Y (0.903)           	Non-effector
SGCOL_010455-T1 	-                   	-                   	Y (0.852)           	Non-effector
SGCOL_010481-T1 	-                   	Y (0.521)           	-                   	Apoplastic effector
SGCOL_010491-T1 	Y (0.9)           	-                   	-                   	Cytoplasmic effector
SGCOL_010510-T1 	-                   	-                   	Y (0.659)           	Non-effector
SGCOL_010512-T1 	-                   	-                   	Y (0.719)           	Non-effector
SGCOL_010531-T1 	-                   	-                   	Y (0.923)           	Non-effector
SGCOL_010550-T1 	-                   	-                   	Y (0.621)           	Non-effector
SGCOL_010551-T1 	-                   	-                   	Y (0.985)           	Non-effector
SGCOL_010562-T1 	-                   	-                   	Y (0.629)           	Non-effector
SGCOL_010569-T1 	-                   	-                   	Y (0.599)           	Non-effector
SGCOL_010575-T1 	Y (0.746)           	Y (0.868)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_010584-T1 	-                   	-                   	Y (0.875)           	Non-effector
SGCOL_010585-T1 	-                   	-                   	Y (0.899)           	Non-effector
SGCOL_010599-T1 	-                   	Y (0.71)           	-                   	Apoplastic effector
SGCOL_010602-T1 	-                   	Y (0.86)           	-                   	Apoplastic effector
SGCOL_010603-T1 	-                   	Y (0.892)           	-                   	Apoplastic effector
SGCOL_010605-T1 	-                   	-                   	Y (0.655)           	Non-effector
SGCOL_010612-T1 	Y (0.55)           	-                   	-                   	Cytoplasmic effector
SGCOL_010698-T1 	-                   	-                   	Y (0.521)           	Non-effector
SGCOL_010706-T1 	-                   	-                   	Y (0.734)           	Non-effector
SGCOL_010708-T1 	-                   	-                   	Y (0.794)           	Non-effector
SGCOL_010719-T1 	-                   	-                   	Y (0.958)           	Non-effector
SGCOL_010722-T1 	-                   	-                   	Y (0.692)           	Non-effector
SGCOL_010723-T1 	Y (0.629)           	Y (0.885)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_010724-T1 	-                   	-                   	Y (0.949)           	Non-effector
SGCOL_010725-T1 	-                   	Y (0.733)           	-                   	Apoplastic effector
SGCOL_010739-T1 	-                   	Y (0.603)           	-                   	Apoplastic effector
SGCOL_010743-T1 	-                   	-                   	Y (0.987)           	Non-effector
SGCOL_010745-T1 	-                   	Y (0.922)           	-                   	Apoplastic effector
SGCOL_010752-T1 	Y (0.8)           	Y (0.891)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_010754-T1 	-                   	-                   	Y (0.851)           	Non-effector
SGCOL_010761-T1 	-                   	-                   	Y (0.923)           	Non-effector
SGCOL_010763-T1 	-                   	-                   	Y (0.697)           	Non-effector
SGCOL_010764-T1 	-                   	-                   	Y (0.693)           	Non-effector
SGCOL_010765-T1 	-                   	-                   	Y (0.785)           	Non-effector
SGCOL_010774-T1 	-                   	-                   	Y (0.919)           	Non-effector
SGCOL_010780-T1 	-                   	-                   	Y (0.733)           	Non-effector
SGCOL_010783-T1 	-                   	-                   	Y (0.929)           	Non-effector
SGCOL_010794-T1 	-                   	Y (0.509)           	-                   	Apoplastic effector
SGCOL_010806-T1 	-                   	-                   	Y (0.592)           	Non-effector
SGCOL_010809-T1 	-                   	-                   	Y (0.898)           	Non-effector
SGCOL_010825-T1 	-                   	-                   	Y (0.958)           	Non-effector
SGCOL_010828-T1 	-                   	Y (0.554)           	-                   	Apoplastic effector
SGCOL_010835-T1 	-                   	-                   	Y (0.595)           	Non-effector
SGCOL_010837-T1 	-                   	Y (0.7)           	-                   	Apoplastic effector
SGCOL_010839-T1 	-                   	Y (0.865)           	-                   	Apoplastic effector
SGCOL_010841-T1 	Y (0.895)           	-                   	-                   	Cytoplasmic effector
SGCOL_010844-T1 	-                   	Y (0.62)           	-                   	Apoplastic effector
SGCOL_010846-T1 	Y (0.892)           	Y (0.85)           	-                   	Cytoplasmic/apoplastic effector
SGCOL_010863-T1 	-                   	-                   	Y (0.988)           	Non-effector
SGCOL_010894-T1 	-                   	-                   	Y (0.807)           	Non-effector
SGCOL_010895-T1 	-                   	-                   	Y (0.533)           	Non-effector
SGCOL_010897-T1 	-                   	-                   	Y (0.669)           	Non-effector
SGCOL_010899-T1 	-                   	-                   	Y (0.862)           	Non-effector
SGCOL_010900-T1 	-                   	-                   	Y (0.856)           	Non-effector
SGCOL_010938-T1 	-                   	-                   	Y (0.842)           	Non-effector
SGCOL_010955-T1 	-                   	-                   	Y (0.88)           	Non-effector
SGCOL_010961-T1 	-                   	-                   	Y (0.986)           	Non-effector
SGCOL_010979-T1 	-                   	-                   	Y (0.592)           	Non-effector
SGCOL_010983-T1 	-                   	Y (0.501)           	-                   	Apoplastic effector
SGCOL_010984-T1 	-                   	Y (0.78)           	-                   	Apoplastic effector
SGCOL_011020-T1 	-                   	-                   	Y (0.697)           	Non-effector
SGCOL_011023-T1 	-                   	-                   	Y (0.959)           	Non-effector
SGCOL_011025-T1 	-                   	-                   	Y (0.844)           	Non-effector
SGCOL_011029-T1 	-                   	-                   	Y (0.86)           	Non-effector
SGCOL_011030-T1 	-                   	-                   	Y (0.511)           	Non-effector
SGCOL_011031-T1 	Y (0.556)           	-                   	-                   	Cytoplasmic effector
SGCOL_011039-T1 	-                   	-                   	Y (0.645)           	Non-effector
SGCOL_011044-T1 	-                   	Y (0.723)           	-                   	Apoplastic effector
SGCOL_011053-T1 	-                   	-                   	Y (0.782)           	Non-effector
SGCOL_011059-T1 	-                   	Y (0.631)           	-                   	Apoplastic effector
SGCOL_011062-T1 	-                   	-                   	Y (0.657)           	Non-effector
SGCOL_011069-T1 	-                   	-                   	Y (0.728)           	Non-effector
SGCOL_011073-T1 	-                   	Y (0.991)           	-                   	Apoplastic effector
SGCOL_011089-T1 	-                   	-                   	Y (0.744)           	Non-effector
SGCOL_011094-T1 	-                   	-                   	Y (0.632)           	Non-effector
SGCOL_011124-T1 	-                   	-                   	Y (0.821)           	Non-effector
SGCOL_011131-T1 	-                   	-                   	Y (0.725)           	Non-effector
SGCOL_011147-T1 	-                   	-                   	Y (0.763)           	Non-effector
SGCOL_011154-T1 	-                   	-                   	Y (0.723)           	Non-effector
SGCOL_011158-T1 	-                   	-                   	Y (0.722)           	Non-effector
SGCOL_011191-T1 	-                   	Y (0.803)           	-                   	Apoplastic effector
SGCOL_011209-T1 	Y (0.684)           	-                   	-                   	Cytoplasmic effector
SGCOL_011214-T1 	-                   	-                   	Y (0.718)           	Non-effector
SGCOL_011221-T1 	Y (0.515)           	-                   	-                   	Cytoplasmic effector
SGCOL_011223-T1 	-                   	Y (0.763)           	-                   	Apoplastic effector
SGCOL_011228-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_011231-T1 	-                   	-                   	Y (0.875)           	Non-effector
SGCOL_011233-T1 	-                   	-                   	Y (0.694)           	Non-effector
SGCOL_011239-T1 	-                   	-                   	Y (0.556)           	Non-effector
SGCOL_011243-T1 	-                   	-                   	Y (0.787)           	Non-effector
SGCOL_011246-T1 	-                   	Y (0.994)           	-                   	Apoplastic effector
SGCOL_011247-T1 	-                   	-                   	Y (0.88)           	Non-effector
SGCOL_011255-T1 	-                   	-                   	Y (0.563)           	Non-effector
SGCOL_011257-T1 	-                   	-                   	Y (0.974)           	Non-effector
SGCOL_011258-T1 	-                   	Y (0.752)           	-                   	Apoplastic effector
SGCOL_011261-T1 	-                   	-                   	Y (0.958)           	Non-effector
SGCOL_011262-T1 	-                   	Y (0.598)           	-                   	Apoplastic effector
SGCOL_011287-T1 	-                   	-                   	Y (0.75)           	Non-effector
SGCOL_011293-T1 	-                   	-                   	Y (0.925)           	Non-effector
SGCOL_011297-T1 	Y (0.63)           	-                   	-                   	Cytoplasmic effector
SGCOL_011300-T1 	-                   	-                   	Y (0.748)           	Non-effector
SGCOL_011301-T1 	-                   	Y (0.592)           	-                   	Apoplastic effector
SGCOL_011310-T1 	-                   	-                   	Y (0.808)           	Non-effector
SGCOL_011312-T1 	-                   	-                   	Y (0.593)           	Non-effector
SGCOL_011330-T1 	-                   	-                   	Y (0.92)           	Non-effector
SGCOL_011340-T1 	Y (0.573)           	-                   	-                   	Cytoplasmic effector
SGCOL_011347-T1 	Y (0.668)           	-                   	-                   	Cytoplasmic effector
SGCOL_011348-T1 	-                   	-                   	Y (0.627)           	Non-effector
SGCOL_011354-T1 	-                   	-                   	Y (0.933)           	Non-effector
SGCOL_011381-T1 	-                   	-                   	Y (0.954)           	Non-effector
SGCOL_011385-T1 	-                   	-                   	Y (0.889)           	Non-effector
SGCOL_011392-T1 	-                   	-                   	Y (0.846)           	Non-effector
SGCOL_011393-T1 	Y (0.577)           	-                   	-                   	Cytoplasmic effector
SGCOL_011394-T1 	-                   	-                   	Y (0.606)           	Non-effector
SGCOL_011406-T1 	-                   	-                   	Y (0.541)           	Non-effector
SGCOL_011408-T1 	-                   	-                   	Y (0.582)           	Non-effector
SGCOL_011425-T1 	-                   	-                   	Y (0.612)           	Non-effector
SGCOL_011427-T1 	-                   	-                   	Y (0.54)           	Non-effector
SGCOL_011435-T1 	-                   	-                   	Y (0.618)           	Non-effector
SGCOL_011441-T1 	-                   	Y (0.819)           	-                   	Apoplastic effector
SGCOL_011446-T1 	-                   	-                   	Y (0.705)           	Non-effector
SGCOL_011458-T1 	Y (0.61)           	Y (0.861)           	-                   	Apoplastic/cytoplasmic effector
SGCOL_011459-T1 	-                   	-                   	Y (0.664)           	Non-effector
SGCOL_011461-T1 	-                   	Y (0.702)           	-                   	Apoplastic effector
SGCOL_011462-T1 	-                   	-                   	Y (0.914)           	Non-effector
SGCOL_011469-T1 	-                   	-                   	Y (0.826)           	Non-effector
SGCOL_011471-T1 	-                   	-                   	Y (0.842)           	Non-effector
SGCOL_011482-T1 	-                   	-                   	Y (0.79)           	Non-effector
SGCOL_011485-T1 	Y (0.6)           	-                   	-                   	Cytoplasmic effector
SGCOL_011491-T1 	-                   	-                   	Y (0.985)           	Non-effector
SGCOL_011501-T1 	-                   	-                   	Y (0.81)           	Non-effector
SGCOL_011502-T1 	-                   	Y (0.56)           	-                   	Apoplastic effector
SGCOL_011542-T1 	-                   	Y (0.684)           	-                   	Apoplastic effector
SGCOL_011549-T1 	-                   	-                   	Y (0.711)           	Non-effector
SGCOL_011572-T1 	-                   	-                   	Y (0.98)           	Non-effector
SGCOL_011589-T1 	-                   	-                   	Y (0.979)           	Non-effector
SGCOL_011595-T1 	-                   	-                   	Y (0.553)           	Non-effector
SGCOL_011596-T1 	-                   	Y (0.878)           	-                   	Apoplastic effector
SGCOL_011625-T1 	-                   	-                   	Y (0.656)           	Non-effector
SGCOL_011628-T1 	-                   	-                   	Y (0.85)           	Non-effector
SGCOL_011645-T1 	-                   	Y (0.799)           	-                   	Apoplastic effector
SGCOL_011649-T1 	-                   	-                   	Y (0.892)           	Non-effector
SGCOL_011650-T1 	-                   	-                   	Y (0.928)           	Non-effector
SGCOL_011652-T1 	-                   	-                   	Y (0.655)           	Non-effector
SGCOL_011663-T1 	-                   	-                   	Y (0.628)           	Non-effector
SGCOL_011673-T1 	-                   	-                   	Y (0.611)           	Non-effector
SGCOL_011674-T1 	-                   	-                   	Y (0.712)           	Non-effector
SGCOL_011683-T1 	-                   	-                   	Y (0.702)           	Non-effector
SGCOL_011686-T1 	-                   	-                   	Y (0.62)           	Non-effector
SGCOL_011693-T1 	-                   	-                   	Y (0.98)           	Non-effector
SGCOL_011702-T1 	-                   	-                   	Y (0.843)           	Non-effector
SGCOL_011710-T1 	-                   	-                   	Y (0.883)           	Non-effector
SGCOL_011712-T1 	Y (0.518)           	-                   	-                   	Cytoplasmic effector
SGCOL_011727-T1 	-                   	-                   	Y (0.785)           	Non-effector
SGCOL_011731-T1 	-                   	-                   	Y (0.789)           	Non-effector
SGCOL_011734-T1 	-                   	-                   	Y (0.956)           	Non-effector
SGCOL_011742-T1 	-                   	-                   	Y (0.875)           	Non-effector
SGCOL_011751-T1 	-                   	Y (0.802)           	-                   	Apoplastic effector
SGCOL_011752-T1 	-                   	-                   	Y (0.682)           	Non-effector
SGCOL_011760-T1 	-                   	Y (0.838)           	-                   	Apoplastic effector
SGCOL_011762-T1 	-                   	Y (0.922)           	-                   	Apoplastic effector
SGCOL_011767-T1 	-                   	-                   	Y (0.889)           	Non-effector
SGCOL_011775-T1 	-                   	Y (0.529)           	-                   	Apoplastic effector
SGCOL_011778-T1 	Y (0.658)           	-                   	-                   	Cytoplasmic effector
SGCOL_011786-T1 	-                   	-                   	Y (0.746)           	Non-effector
SGCOL_011797-T1 	-                   	Y (0.611)           	-                   	Apoplastic effector
SGCOL_011817-T1 	-                   	Y (0.923)           	-                   	Apoplastic effector
SGCOL_011822-T1 	-                   	-                   	Y (0.563)           	Non-effector
SGCOL_011864-T1 	-                   	-                   	Y (0.745)           	Non-effector
SGCOL_011872-T1 	-                   	Y (0.723)           	-                   	Apoplastic effector
SGCOL_011875-T1 	-                   	-                   	Y (0.92)           	Non-effector
SGCOL_011878-T1 	-                   	-                   	Y (0.62)           	Non-effector
SGCOL_011880-T1 	-                   	-                   	Y (0.929)           	Non-effector
SGCOL_011884-T1 	-                   	Y (0.566)           	-                   	Apoplastic effector
SGCOL_011888-T1 	-                   	-                   	Y (0.523)           	Non-effector
SGCOL_011895-T1 	-                   	-                   	Y (0.935)           	Non-effector
SGCOL_011897-T1 	-                   	-                   	Y (0.851)           	Non-effector
SGCOL_011903-T1 	-                   	-                   	Y (0.868)           	Non-effector
SGCOL_011904-T1 	-                   	-                   	Y (0.934)           	Non-effector
SGCOL_011929-T1 	-                   	-                   	Y (0.921)           	Non-effector
SGCOL_011936-T1 	-                   	Y (0.676)           	-                   	Apoplastic effector
SGCOL_011961-T1 	-                   	-                   	Y (0.727)           	Non-effector
SGCOL_011983-T1 	-                   	-                   	Y (0.666)           	Non-effector
SGCOL_011989-T1 	Y (0.507)           	-                   	-                   	Cytoplasmic effector
SGCOL_012004-T1 	-                   	Y (0.669)           	-                   	Apoplastic effector
SGCOL_012005-T1 	-                   	-                   	Y (0.956)           	Non-effector
SGCOL_012007-T1 	-                   	-                   	Y (0.964)           	Non-effector
SGCOL_012010-T1 	-                   	-                   	Y (0.668)           	Non-effector
